,0,1,2,3,4
47,47,"Cowboy Bebop  TV (26 eps)  Apr 1998 - Apr 1999  1,937,165 members",8.75,,Add to My List
48,48,"Ashita no Joe 2  TV (47 eps)  Oct 1980 - Aug 1981  56,520 members  Manga Store Volume 1 $27.99 Preview",8.74,,Add to My List
49,49,"The First Slam Dunk  Movie (1 eps)  Dec 2022 - Dec 2022  58,574 members",8.74,,Add to My List
50,50,"Shiguang Dailiren  ONA (11 eps)  Apr 2021 - Jul 2021  410,179 members",8.73,,Add to My List
0,Rank,Title,Score,,
1,51,"Kimetsu no Yaiba: Yuukaku-hen  TV (11 eps)  Dec 2021 - Feb 2022  1,554,144 members",8.73,,Add to My List
2,52,"Kingdom 4th Season  TV (26 eps)  Apr 2022 - Oct 2022  72,512 members",8.73,,Add to My List
3,53,"One Piece  TV (? eps)  Oct 1999 - 2,478,831 members",8.73,,Add to My List
4,54,"Bleach: Sennen Kessen-hen - Soukoku-tan  TV (14 eps)  Oct 2024 - Dec 2024  200,202 members",8.72,,Add to My List
5,55,"Hibike! Euphonium 3  TV (13 eps)  Apr 2024 - Jun 2024  79,725 members  Manga Store Volume 1 $9.99 Preview",8.72,,Add to My List
6,56,"Shiguang Dailiren: Yingdu Pian  ONA (6 eps)  Dec 2024 - 33,566 members",8.72,,Add to My List
7,57,"Kingdom 5th Season  TV (13 eps)  Jan 2024 - Mar 2024  44,726 members",8.72,,Add to My List
8,58,"Mushishi Zoku Shou 2nd Season  TV (10 eps)  Oct 2014 - Dec 2014  276,126 members  Manga Store Volume 1 $15.99 Preview",8.72,,Add to My List
9,59,"Mob Psycho 100 III  TV (12 eps)  Oct 2022 - Dec 2022  752,295 members",8.71,,Add to My List
10,60,"Monogatari Series: Off & Monster Season  ONA (14 eps)  Jul 2024 - Oct 2024  81,323 members",8.71,,Add to My List
11,61,"86 Part 2  TV (12 eps)  Oct 2021 - Mar 2022  554,848 members  Manga Store Volume 1 $9.99 Preview",8.71,,Add to My List
12,62,"Bleach: Sennen Kessen-hen - Ketsubetsu-tan  TV (13 eps)  Jul 2023 - Sep 2023  333,583 members",8.70,,Add to My List
13,63,"Code Geass: Hangyaku no Lelouch  TV (25 eps)  Oct 2006 - Jul 2007  2,331,009 members",8.70,,Add to My List
14,64,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen  OVA (4 eps)  Feb 1999 - Sep 1999  282,636 members",8.70,,Add to My List
15,65,"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen  TV (12 eps)  Jan 2017 - Mar 2017  192,477 members  Manga Store Volume 1 $17.99 Preview",8.70,,Add to My List
16,66,"Mushishi Zoku Shou  TV (10 eps)  Apr 2014 - Jun 2014  309,704 members  Manga Store Volume 1 $15.99 Preview",8.69,,Add to My List
17,67,"Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season  TV (16 eps)  Oct 2024 - 341,000 members  Manga Store Volume 1 $9.99 Preview",8.69,,Add to My List
18,68,"Look Back  Movie (1 eps)  Jun 2024 - Jun 2024  133,899 members",8.68,,Add to My List
19,69,"Mo Dao Zu Shi: Wanjie Pian  ONA (12 eps)  Aug 2021 - Oct 2021  86,235 members",8.68,,Add to My List
20,70,"Great Teacher Onizuka  TV (43 eps)  Jun 1999 - Sep 2000  861,747 members  Manga Store Volume 1 $15.99 Preview",8.68,,Add to My List
21,71,"Violet Evergarden  TV (13 eps)  Jan 2018 - Apr 2018  1,863,590 members",8.68,,Add to My List
22,72,"Hajime no Ippo: New Challenger  TV (26 eps)  Jan 2009 - Jul 2009  301,229 members",8.67,,Add to My List
23,73,"Howl no Ugoku Shiro  Movie (1 eps)  Nov 2004 - Nov 2004  1,398,560 members",8.67,,Add to My List
24,74,"Mononoke Hime  Movie (1 eps)  Jul 1997 - Jul 1997  1,303,629 members",8.66,,Add to My List
25,75,"Tian Guan Cifu Er  ONA (12 eps)  Oct 2023 - Jan 2024  51,899 members",8.66,,Add to My List
26,76,"Fate/stay night Movie: Heaven's Feel - III. Spring Song  Movie (1 eps)  Aug 2020 - Aug 2020  371,607 members",8.65,,Add to My List
27,77,"Mushishi  TV (26 eps)  Oct 2005 - Jun 2006  859,142 members  Manga Store Volume 1 $15.99 Preview",8.65,,Add to My List
28,78,"Odd Taxi  TV (13 eps)  Apr 2021 - Jun 2021  463,546 members",8.65,,Add to My List
29,79,"Made in Abyss  TV (13 eps)  Jul 2017 - Sep 2017  1,447,832 members",8.64,,Add to My List
30,80,"Mushoku Tensei: Isekai Ittara Honki Dasu Part 2  TV (12 eps)  Oct 2021 - Dec 2021  1,008,309 members",8.64,,Add to My List
31,81,"Natsume Yuujinchou Shi  TV (13 eps)  Jan 2012 - Mar 2012  253,537 members",8.64,,Add to My List
32,82,"Shigatsu wa Kimi no Uso  TV (22 eps)  Oct 2014 - Mar 2015  2,287,369 members  Manga Store Volume 1 $15.99 Preview",8.64,,Add to My List
33,83,"Shiguang Dailiren II  ONA (12 eps)  Jul 2023 - Sep 2023  133,336 members",8.64,,Add to My List
34,84,"Shingeki no Kyojin Season 3  TV (12 eps)  Jul 2018 - Oct 2018  2,477,283 members  Manga Store Volume 1 $15.99 Preview",8.63,,Add to My List
35,85,"Tengen Toppa Gurren Lagann  TV (27 eps)  Apr 2007 - Sep 2007  1,667,365 members",8.63,,Add to My List
36,86,"Bungou Stray Dogs 5th Season  TV (11 eps)  Jul 2023 - Sep 2023  214,732 members  Manga Store Volume 1 $8.99 Preview",8.63,,Add to My List
37,87,"Death Note  TV (37 eps)  Oct 2006 - Jun 2007  4,043,529 members",8.62,,Add to My List
38,88,"Haikyuu!! Movie: Gomisuteba no Kessen  Movie (1 eps)  Feb 2024 - Feb 2024  167,872 members",8.62,,Add to My List
39,89,"Haikyuu!! Second Season  TV (25 eps)  Oct 2015 - Mar 2016  1,484,820 members",8.62,,Add to My List
40,90,"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen  TV (12 eps)  Apr 2020 - Jun 2020  1,403,452 members",8.62,,Add to My List
41,91,"Made in Abyss: Retsujitsu no Ougonkyou  TV (12 eps)  Jul 2022 - Sep 2022  483,600 members",8.62,,Add to My List
42,92,"Ping Pong the Animation  TV (11 eps)  Apr 2014 - Jun 2014  410,362 members",8.62,,Add to My List
43,93,"Made in Abyss Movie 3: Fukaki Tamashii no Reimei  Movie (1 eps)  Jan 2020 - Jan 2020  492,537 members",8.61,,Add to My List
44,94,"Natsume Yuujinchou Roku  TV (11 eps)  Apr 2017 - Jun 2017  194,201 members",8.61,,Add to My List
45,95,"Cyberpunk: Edgerunners  ONA (10 eps)  Sep 2022 - Sep 2022  862,498 members",8.61,,Add to My List
46,96,"Dungeon Meshi  TV (24 eps)  Jan 2024 - Jun 2024  431,919 members  Manga Store Volume 1 $8.99 Preview",8.61,,Add to My List
47,97,"Hajime no Ippo: Rising  TV (25 eps)  Oct 2013 - Mar 2014  274,151 members",8.61,,Add to My List
48,98,"Kenpuu Denki Berserk  TV (25 eps)  Oct 1997 - Apr 1998  701,809 members",8.60,,Add to My List
49,99,"[Oshi no Ko] 2nd Season  TV (13 eps)  Jul 2024 - Oct 2024  406,601 members  Manga Store Volume 1 $9.99 Preview",8.60,,Add to My List
50,100,"Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai  Movie (1 eps)  Jun 2019 - Jun 2019  747,679 members  Manga Store Volume 1 $9.99 Preview",8.59,,Add to My List
0,Rank,Title,Score,,
1,101,"Suzumiya Haruhi no Shoushitsu  Movie (1 eps)  Feb 2010 - Feb 2010  625,116 members  Manga Store The Melancholy of Haruhi Suzumiya (light novel) $12.99 Preview",8.59,,Add to My List
2,102,"Tengen Toppa Gurren Lagann Movie 2: Lagann-hen  Movie (1 eps)  Apr 2009 - Apr 2009  224,792 members",8.59,,Add to My List
3,103,"[Oshi no Ko]  TV (11 eps)  Apr 2023 - Jun 2023  911,268 members  Manga Store Volume 1 $9.99 Preview",8.59,,Add to My List
4,104,"Dandadan  TV (12 eps)  Oct 2024 - Dec 2024  600,389 members",8.59,,Add to My List
5,105,"Natsume Yuujinchou Shichi  TV (12 eps)  Oct 2024 - Dec 2024  42,468 members",8.59,,Add to My List
6,106,"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze  TV (39 eps)  Oct 2018 - Jul 2019  1,076,006 members",8.58,,Add to My List
7,107,"Mushishi Zoku Shou: Suzu no Shizuku  Movie (1 eps)  May 2015 - May 2015  133,138 members  Manga Store Volume 1 $15.99 Preview",8.58,,Add to My List
8,108,"Shin Evangelion Movie:||  Movie (1 eps)  Mar 2021 - Mar 2021  393,612 members",8.58,,Add to My List
9,109,"Jujutsu Kaisen  TV (24 eps)  Oct 2020 - Mar 2021  2,735,840 members",8.57,,Add to My List
10,110,"Natsume Yuujinchou San  TV (13 eps)  Jul 2011 - Sep 2011  260,912 members",8.57,,Add to My List
11,111,"Doupo Cangqiong: San Nian Zhi Yue  ONA (13 eps)  Oct 2021 - Jan 2022  8,666 members",8.57,,Add to My List
12,112,"Kimetsu no Yaiba Movie: Mugen Ressha-hen  Movie (1 eps)  Oct 2020 - Oct 2020  1,633,714 members",8.56,,Add to My List
13,113,"Kizumonogatari II: Nekketsu-hen  Movie (1 eps)  Aug 2016 - Aug 2016  463,131 members  Manga Store Part1 $13.99 Preview",8.56,,Add to My List
14,114,"Nana  TV (47 eps)  Apr 2006 - Mar 2007  711,893 members",8.56,,Add to My List
15,115,"Natsume Yuujinchou Go  TV (11 eps)  Oct 2016 - Dec 2016  194,606 members",8.56,,Add to My List
16,116,"Ookami Kodomo no Ame to Yuki  Movie (1 eps)  Jul 2012 - Jul 2012  834,502 members  Manga Store Volume 1 $16.99 Preview",8.56,,Add to My List
17,117,"Kimi no Suizou wo Tabetai  Movie (1 eps)  Sep 2018 - Sep 2018  1,022,935 members",8.55,,Add to My List
