,Rank,Title,Score,URL
54,55,Hibike Euphonium 3,"8.72
",https://myanimelist.net/anime/39894/Hibike_Euphonium_3
55,56,Shiguang Dailiren Yingdu Pian,"8.72
",https://myanimelist.net/anime/56752/Shiguang_Dailiren__Yingdu_Pian
56,57,Kingdom 5th Season,"8.72
",https://myanimelist.net/anime/53223/Kingdom_5th_Season
57,58,Mushishi Zoku Shou 2nd Season,"8.72
",https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
58,59,Mob Psycho 100 III,"8.71
",https://myanimelist.net/anime/50172/Mob_Psycho_100_III
59,60,Monogatari Series Off Monster Season,"8.71
",https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season
60,61,86 Part 2,"8.71
",https://myanimelist.net/anime/48569/86_Part_2
61,62,Bleach Sennen Kessen hen Ketsubetsu tan,"8.70
",https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan
62,63,Code Geass Hangyaku no Lelouch,"8.70
",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
63,64,Rurouni Kenshin Meiji Kenkaku Romantan Tsuioku hen,"8.70
",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
64,65,Shouwa Genroku Rakugo Shinjuu Sukeroku Futatabi hen,"8.70
",https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
65,66,Mushishi Zoku Shou,"8.69
",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
66,67,Re Zero kara Hajimeru Isekai Seikatsu 3rd Season,"8.69
",https://myanimelist.net/anime/54857/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season
67,68,Look Back,"8.68
",https://myanimelist.net/anime/58125/Look_Back
68,69,Mo Dao Zu Shi Wanjie Pian,"8.68
",https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
69,70,Great Teacher Onizuka,"8.68
",https://myanimelist.net/anime/245/Great_Teacher_Onizuka
70,71,Violet Evergarden,"8.68
",https://myanimelist.net/anime/33352/Violet_Evergarden
71,72,Hajime no Ippo New Challenger,"8.67
",https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
72,73,Howl no Ugoku Shiro,"8.67
",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
73,74,Mononoke Hime,"8.66
",https://myanimelist.net/anime/164/Mononoke_Hime
74,75,Tian Guan Cifu Er,"8.66
",https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er
75,76,Fate stay night Movie Heaven s Feel III Spring Song,"8.65
",https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
76,77,Mushishi,"8.65
",https://myanimelist.net/anime/457/Mushishi
77,78,Odd Taxi,"8.65
",https://myanimelist.net/anime/46102/Odd_Taxi
78,79,Made in Abyss,"8.64
",https://myanimelist.net/anime/34599/Made_in_Abyss
79,80,Mushoku Tensei Isekai Ittara Honki Dasu Part 2,"8.64
",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
80,81,Natsume Yuujinchou Shi,"8.64
",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
81,82,Shigatsu wa Kimi no Uso,"8.64
",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
82,83,Shiguang Dailiren II,"8.64
",https://myanimelist.net/anime/49413/Shiguang_Dailiren_II
83,84,Shingeki no Kyojin Season 3,"8.63
",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
84,85,Tengen Toppa Gurren Lagann,"8.63
",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
